event_90001,B. Bureyev
event_90002,Rosa von Praunheim
event_90003,Rosa von Praunheim
event_90004,Rosa von Praunheim
event_90005,Rosa von Praunheim
event_90006,Robert Bresson
event_90007,A. Buchma and A. Shvachko
event_90008,Mauritz Stiller
event_90009,Nyrki Tapiovara
event_90010,Rosa von Praunheim
event_90018,Conrad Rooks
event_90019,Isa Hesse-Rabinovich
event_90023,William Reichert
event_90025,Clarence Brown
event_90027,Jacques Demy
event_90028,Victor Sjöström
event_90029,Mauritz Stiller
event_90030,Robert Bresson
event_90031,Yuri Raizman
event_90035,Robert Bresson
event_90036,Benjamin Christensen
event_90037,Victor Sjöström
event_90038,Jamaa Fanaka
event_90039,Hugh A. Robertson
event_90040,Victor Sjöström
event_90041,"Woodie King, Jr."
event_90044,Fred Haines
event_90045,Victor Sjöström
event_90046,Gilles Carle
event_90049,Charles Vidor
event_90050,Sidney Lanfield
event_90053,Robert Bresson
event_90062,Victor Sjöström
event_90063,Ingmar Bergman
event_90064,Jean-Luc Godard
event_90066,Siko Dolidze
event_90067,Toshio Matsumoto
event_90072,Barbara Kopple
event_90074,Georgi Shengelaya
event_90075,George Cukor
event_90076,Alfred Hitchcock
event_90079,François Truffaut
event_90080,Arthur Penn
event_90081,Revas Chkheidze
event_90088,John Frankenheimer
event_90091,Jean Delannoy
event_90092,Fernand Rivers
event_90095,Antoine Valma
event_90096,George Griffin
event_90098,Henri-Georges Clouzot
event_90099,John Ford
event_90101,Federico Fellini
event_90102,Nana Mchedlidze
event_90103,Vittorio de Sica
event_90104,Jorge Bodanzky
event_90106,Robert Nelson
event_90109,Douglas Sirk
event_90110,Vicente Minnelli
import_row_id,display_name
