import_row_id,title,wikidata_id,alt_title,country,year
event_197802_0001,Ino and Mon,,Ani imoto,Japan,1936
event_197802_0002,Late Spring,Q743203,Banshun,Japan,1949
event_197802_0003,Milestones,Q6851618,,,1975
event_197802_0004,A Report on the Party and the Guests,Q4659196,,,1966
event_197802_0005,The World Is Ours,Q7775996,,,mid-'60s
event_197802_0006,Tuesday,,,,mid-'60s
event_197802_0007,C'etait Il y a Quatre Ans,Q99585550,C'etait il y a quatre ans,,1955
event_197802_0008,Afrique-sur-Seine,Q5659478,,,1955
event_197802_0009,Mol,,,,1955–56
event_197802_0010,A Nation is Born,,Une nation est nee,,1962
event_197802_0011,N'Diongane,Q77445302,,,1965
event_197802_0012,How Green Was My Valley,Q244448,,,1941
event_197802_0013,Scences from the Class Struggle in Portugal,,,,1977
event_197802_0014,Ceddo,Q5057031,,,1977
event_197802_0015,Sambi Tali,,,,1975
event_197802_0016,Les Princes Noirs de Saint-Germain-des-Près,Q116045083,,,1974
event_197802_0017,Hans Richter,,Ich lebe in der Gegenwart,,1973
event_197802_0018,Germany-Dada,,,,1971
event_197802_0019,Black Girl,Q3211102,La noire de . . .,,1966
event_197802_0020,Tauw,,,,1970
event_197802_0021,Mandabi,Q2014254,The Money Order,,1968
event_197802_0022,Niaye,Q43023622,,,1965
event_197802_0023,Ellis Larkins,,,,1975
event_197802_0024,The World of Fernando Botero,,,,1976
event_197802_0025,Edward Kienholz,,,,1977
event_197802_0026,The Major and the Minor,Q1195357,,,1942
event_197802_0027,My Favorite Wife,Q589729,,,1940
event_197802_0028,Borom Sarret,Q3642704,,,1962–63
event_197802_0029,Pilgrimage to Touba,,Grand Magal a Touba,,1962–63
event_197802_0030,Wrestling—Senegalese Style,,Lamb,,1963
event_197802_0031,Sarzan,,,,1963
event_197802_0032,Women from Kenya,,,,1977
event_197802_0033,Women from California,,,,1977
event_197802_0034,Emitaï,Q5372649,,,1972
event_197802_0035,Victims of Violence,,,,1972
event_197802_0036,This World Is Not for Children,,,,1972
event_197802_0037,Xala,Q1538018,,,1975
event_197802_0038,Early Summer,Q1761192,Bakushu,,1951
event_197802_0039,Lightning,Q3205166,Inazuma,,1952
event_197802_0040,Mein Kampf,Q1678947,,,1960
event_197802_0041,"Wake Up, Germany!",,"Deutschland, erwache!",,1968
event_197802_0042,The Round-Up,Q531109,,Hungary,1965
event_197802_0043,That's My Advice to You,,,,1978
event_197802_0044,They Were Expendable,Q1548954,,,1945
event_197802_0045,Ingmar Bergman,,,,1972
event_197802_0046,The White Wall,Q15150494,,,1975
event_197802_0047,Boesman and Lena,Q4937235,,,1973
event_197802_0048,Last Grave at Dimbaza,Q23302075,,,1975
event_197802_0049,L'Age d'Or,Q946849,The Golden Age,France,1930
event_197802_0050,Pandora's Box,Q700736,,Germany,1929
event_197802_0051,Zouzou,Q3576187,,,1934
event_197802_0052,,,,,
event_197802_0053,Why Change Your Wife?,Q1673228,,,1920
event_197802_0054,Children of Eve,Q21184863,,,1915
event_197802_0055,Lady of the Night,Q2213949,,,1925
event_197802_0056,Sullivan's Travels,Q1065711,,,1942
event_197802_0057,The Miracle of Morgan's Creek,Q2589831,,,1944
event_197802_0058,The Pride of the Firm,Q15805199,Der Stolz der Firma,,1914
event_197802_0059,Shoe Salon Pinkus,,,,1916
event_197802_0060,So This Is Paris,Q7549559,,,1926
event_197802_0061,Landscape After the Battle,Q1372578,Krajosbraz po bitwie,,1970
event_197802_0062,The Cossack Whip,Q21183768,,,1915
event_197802_0063,"Man, Woman and Sin",Q3844200,,,1927
event_197802_0064,L'Argent,Q302695,,French/Germany,1927
event_197802_0065,Downstairs,Q2339917,,,1932
event_197802_0066,Diary of a Lost Girl,Q569699,,,1928
event_197802_0067,A Touch of Zen,Q704780,,,1968–75
event_197802_0068,The Wedding,Q4252506,Wesele,,1972
event_197802_0069,The Big City,,Reouh-takh,,1971
event_197802_0070,The Young Woman,,Diankha-bi,,1968
event_197802_0071,My Darling Clementine,Q370252,,,1946
event_197802_0072,The Inspector General,,Lambaaye,,1972
event_197802_0073,Die Augen der Mumie Ma,Q285430,Die Augen der Mumie Ma,,1918
event_197802_0074,The Oyster Princess,Q329559,Die Ausyetnprinzessin,,1919
event_197802_0075,The Importance of Being Earnest,Q1360769,,,1952
event_197802_0076,Lady Windermere's Fan,Q126135,,,1925
event_197802_0077,Cactus,,Garba m'bosse,,1974
event_197802_0078,Kodou,Q115362670,,,1971
event_197802_0079,And There was Snow No Longer,,,,1965
event_197802_0080,N'jangaan,,,,1974
event_197802_0081,Touki Bouki,Q3310901,The Hyena's Laugh,,1973
event_197802_0082,Nothing Sacred,Q964771,,,1937
event_197802_0083,Miss Tatlock's Millions,Q3790598,,,1948
event_197802_0084,Madame Du Barry,Q480109,,,1919
event_197802_0085,Monte Carlo,Q1369580,,,1930
event_197802_0086,The Flavor of Green Tea over Rice,Q955101,Ochazuke no aji,,1952
event_197802_0087,Angel City,,,,1976
event_197802_0088,Beauty Knows Best,,,,
event_197802_0089,W.R.: Mysteries of the Organism,Q2587098,,Yugoslavia/Germany/USA,1971
event_197802_0090,The Sisters of Nishijin,,Nishijin no shimai,,1952
event_197802_0091,Tokyo Story,Q26060,,,1953
event_197802_0092,A Story of Water,Q1306407,,,1958
event_197802_0093,Les Mistons,Q741105,,,1958
event_197802_0094,All the Boys Are Called Patrick,Q978949,,,1957
event_197802_0095,Charlotte and Her Boyfriend,Q2961046,,,1958
event_197802_0096,The Fat and the Lean,Q6507017,,,1963
event_197802_0097,Wikijunior:Famous Paintings/A Sunday Afternoon on the Island of La Grande Jatte,Q109320394,,Netherlands,1965
event_197802_0098,A Parable of Two,,,,1964
event_197802_0099,La Jetée,Q451434,,,1962
event_197802_0100,Teen Kanya,Q639620,,,1961
event_197802_0101,Adoption,Q1475202,,,1975
event_197802_0102,Contras'city,Q2995754,,,1968
event_197802_0103,Badou Boy,Q4841078,,,1970
event_197802_0104,Last Chants for a Slow Dance,Q6494235,Dead End,,1976
event_197802_0105,The Fugitive,Q2537394,,,1947
event_197802_0106,The Doll,Q151596,,,1919
event_197802_0107,Kohlhiesels Töchter,Q826335,,,1920
event_197802_0108,Eintein's Theory of Relativity,,,,1923
event_197802_0109,Evolution,Q61043293,,,1924
event_197802_0110,Koko's Earth Control,,,,1927
event_197802_0111,The Einstein Theory of Relativity,Q7731676,,,1923
event_197802_0112,Evolution,Q61043293,,,1924
event_197802_0113,Koko's Earth Control,,,,1927
event_197802_0114,"Guereo, Village of D'jibril N'diaye",,,,1969
event_197802_0115,Morning Impressions,,,,1975
event_197802_0116,The Garden of Delights,Q3223560,,,1970
event_197802_0117,La prima Angélica,Q3696462,,,1974
event_197802_0118,Give a Girl a Break,Q2056799,,,1953
event_197802_0119,Small Town Girl,Q1422454,,,1953
event_197802_0120,Sumurun,Q329564,,,1920
event_197802_0121,Design for Living,Q1808904,,,1933
event_197802_0122,Private Lives,Q3329635,,,1931
event_197802_0123,La Cecilia,Q3207115,,France/Italy,1976
